tick,type,time,control,value,channel,meta,track,program,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,data,tempo,note,velocity
26880,note_on,0,,,2,0,0,,,,,,,,54,75
27008,note_off,128,,,2,0,0,,,,,,,,54,64
27072,note_on,64,,,2,0,0,,,,,,,,54,75
27200,note_off,128,,,2,0,0,,,,,,,,54,64
27264,note_on,64,,,2,0,0,,,,,,,,54,75
27392,note_off,128,,,0,0,0,,,,,,,,73,64
27392,note_off,0,,,0,0,0,,,,,,,,70,64
27392,note_off,0,,,2,0,0,,,,,,,,54,64
27456,note_on,64,,,2,0,0,,,,,,,,54,75
27584,note_off,128,,,2,0,0,,,,,,,,54,64
27648,note_on,64,,,0,0,0,,,,,,,,74,75
27648,note_on,0,,,0,0,0,,,,,,,,71,75
27648,note_on,0,,,1,0,0,,,,,,,,66,75
27648,note_on,0,,,2,0,0,,,,,,,,47,75
27776,note_off,128,,,2,0,0,,,,,,,,47,64
27840,note_on,64,,,2,0,0,,,,,,,,47,75
27968,note_off,128,,,2,0,0,,,,,,,,47,64
28032,note_on,64,,,2,0,0,,,,,,,,47,75
28160,note_off,128,,,0,0,0,,,,,,,,74,64
28160,note_off,0,,,0,0,0,,,,,,,,71,64
28160,note_off,0,,,1,0,0,,,,,,,,66,64
28160,note_off,0,,,2,0,0,,,,,,,,47,64
28224,note_on,64,,,2,0,0,,,,,,,,47,75
28352,note_off,128,,,2,0,0,,,,,,,,47,64
28416,note_on,64,,,0,0,0,,,,,,,,78,75
28416,note_on,0,,,0,0,0,,,,,,,,74,75
28416,note_on,0,,,1,0,0,,,,,,,,71,75
28416,note_on,0,,,2,0,0,,,,,,,,47,75
28544,note_off,128,,,2,0,0,,,,,,,,47,64
28608,note_on,64,,,2,0,0,,,,,,,,47,75
28736,note_off,128,,,2,0,0,,,,,,,,47,64
28800,note_on,64,,,2,0,0,,,,,,,,47,75
28928,note_off,128,,,2,0,0,,,,,,,,47,64
28992,note_on,64,,,2,0,0,,,,,,,,47,75
29120,note_off,128,,,2,0,0,,,,,,,,47,64
29184,note_on,64,,,2,0,0,,,,,,,,47,75
29312,note_off,128,,,2,0,0,,,,,,,,47,64
29376,note_on,64,,,2,0,0,,,,,,,,47,75
29504,note_off,128,,,2,0,0,,,,,,,,47,64
29568,note_on,64,,,2,0,0,,,,,,,,47,75
29696,note_off,128,,,2,0,0,,,,,,,,47,64
29760,note_on,64,,,2,0,0,,,,,,,,47,75
29888,note_off,128,,,2,0,0,,,,,,,,47,64
29952,note_on,64,,,2,0,0,,,,,,,,47,75
30016,note_off,64,,,1,0,0,,,,,,,,71,64
30048,note_on,32,,,1,0,0,,,,,,,,74,75
30080,note_off,32,,,0,0,0,,,,,,,,78,64
30080,note_off,0,,,0,0,0,,,,,,,,74,64
30080,note_off,0,,,2,0,0,,,,,,,,47,64
