tick,type,time,meta,track,frame_rate,hours,minutes,seconds,frames,sub_frames,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,key,tempo,port,program,channel,control,value,note,velocity
157920,note_on,0,0,2,,,,,,,,,,,,,,,0,,,57,63
157920,note_on,100,0,1,,,,,,,,,,,,,,,0,,,64,60
157940,note_on,20,0,1,,,,,,,,,,,,,,,0,,,61,0
158010,note_on,90,0,2,,,,,,,,,,,,,,,0,,,57,0
158010,note_on,0,0,2,,,,,,,,,,,,,,,0,,,45,0
158040,note_on,100,0,1,,,,,,,,,,,,,,,0,,,76,55
158060,note_on,20,0,1,,,,,,,,,,,,,,,0,,,64,0
158160,note_on,150,0,2,,,,,,,,,,,,,,,0,,,43,51
158160,note_on,0,0,2,,,,,,,,,,,,,,,0,,,55,61
158160,note_on,100,0,1,,,,,,,,,,,,,,,0,,,73,55
